Item,Quantity,Unit,price(in mad) ,price (in $dollar),link
T8 Lead Screw 2mm lead 500 mm (with nut),1,pcs,67.8,7.32,https://www.aliexpress.com/item/1005007457419235.html?spm=a2g0o.productlist.main.1.13e96abcm3Qxf8&algo_pvid=abe9b885-1ea4-4bde-81db-ef474f83f248&pdp_ext_f=%7B%22order%22%3A%221334%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007457419235%7C_p_origin_prod%3A
T8 screw round,10,pcs,46.65,5.04,https://www.aliexpress.com/item/1005007438925484.html?spm=a2g0o.productlist.main.1.663d47d6Xk5GhJ&algo_pvid=a073f148-42f6-4d7e-ae10-4d699659c8fb&pdp_ext_f=%7B%22order%22%3A%22195%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007438925484%7C_p_origin_prod%3A
LM8UU linear bearing,4,pcs,42.8,4.63,https://www.aliexpress.com/item/1005007791097936.html?spm=a2g0o.productlist.main.1.3edb5583NcR1Fg&algo_pvid=f794e0da-0bcf-4ead-a3f3-0a383e8e83e8&pdp_ext_f=%7B%22order%22%3A%221004%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007791097936%22%2C%22orig_item_id%22%3A%221005006822845504%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007791097936%7C_p_origin_prod%3A1005006822845504
NEMA17 stepper motor,3,pcs,240,25.92,https://www.aliexpress.com/item/1005003874936862.html?spm=a2g0o.productlist.main.1.3135692aSn653o&algo_pvid=01a18a8a-84a6-4b73-875e-59fb750efacf&pdp_ext_f=%7B%22order%22%3A%222333%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003874936862%7C_p_origin_prod%3A
M5 T-nut for 2020 extrusion,100,pcs,76.77,8.3,https://www.aliexpress.com/item/1005007805744044.html?spm=a2g0o.productlist.main.1.21166df09vtnEI&algo_pvid=d509197c-5494-4b8d-bd75-dd62f6435446&pdp_ext_f=%7B%22order%22%3A%222654%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007805744044%22%2C%22orig_item_id%22%3A%221005007342221792%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007805744044%7C_p_origin_prod%3A1005007342221792
Shaft decoupler,5,pcs,71.52,7.73,https://www.aliexpress.com/item/1005006031199563.html?spm=a2g0o.productlist.main.9.44996081ngFjnD&algo_pvid=ea42cc85-9204-4080-b783-f4bf5ca40faf&pdp_ext_f=%7B%22order%22%3A%221177%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006031199563%7C_p_origin_prod%3A
Limit switch (mechanical),5,pcs,29.73,3.21,https://www.aliexpress.com/item/1005010111182286.html?spm=a2g0o.productlist.main.1.3abbDG8vDG8vWA&algo_pvid=5933562e-580b-41ea-b598-2eb9fccb11d4&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010111182286%7C_p_origin_prod%3A
Smooth shaft ˜8mm x 500mm,2,pcs,134,14.47,https://www.aliexpress.com/item/1005006104915821.html?spm=a2g0o.productlist.main.1.799f489bStEF77&algo_pvid=020c6d09-a195-4892-a017-91578b69bc51&pdp_ext_f=%7B%22order%22%3A%22162%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006104915821%7C_p_origin_prod%3A
2020 T-slot extrusion 300mm,4,pcs,273,29.48,https://www.aliexpress.com/item/1005002652962344.html?spm=a2g0o.productlist.main.2.2e3437d7dGcIn6&algo_pvid=0aca7721-a8b6-4cf1-8678-ae9d48901605&pdp_ext_f=%7B%22order%22%3A%22609%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002652962344%7C_p_origin_prod%3A
Emergency stop button,1,pcs,36,3.89,https://www.aliexpress.com/item/4000144892605.html?spm=a2g0o.productlist.main.6.33636377MQJT7H&algo_pvid=5d4f84aa-a965-43b3-a225-a805972d57df&pdp_ext_f=%7B%22order%22%3A%22186%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A4000144892605%7C_p_origin_prod%3A
Spindle,1,pcs,282,30.46,https://www.aliexpress.com/item/1005006435477384.html?spm=a2g0o.productlist.main.9.2c031bb1jvPHgq&algo_pvid=c00a937d-d03c-4e7d-8a0f-f253cf034e65&pdp_ext_f=%7B%22order%22%3A%22110%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006435477384%7C_p_origin_prod%3A
4 flute hrc65 end mill ,4,pcs,29.73,3.21,https://www.aliexpress.com/item/1005006112116580.html?spm=a2g0o.productlist.main.1.28a91ef71Q6Qi6&algo_pvid=7d58d743-c4fb-4f96-9785-83c5d507e746&pdp_ext_f=%7B%22order%22%3A%223827%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006112116580%7C_p_origin_prod%3A
Esp-32 wroom32,1,pcs,18.86,2.04,https://www.aliexpress.com/item/1005007117977294.html?spm=a2g0o.productlist.main.4.378a251bueFwB6&aem_p4p_detail=202512120410314090179256483500000207938&algo_pvid=bdf25448-9590-4bd6-97b4-afa84b8659dc&pdp_ext_f=%7B%22order%22%3A%22475%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007117977294%7C_p_origin_prod%3A&search_p4p_id=202512120410314090179256483500000207938_1
Capacitor 100uF,40,pcs,135.35,14.62,https://www.aliexpress.com/item/1005007792451411.html?spm=a2g0o.productlist.main.2.2ba17329lFhLJc&algo_pvid=0bc21b08-f505-443c-9b1e-3c51c8b5715e&pdp_ext_f=%7B%22order%22%3A%224566%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005007792451411%22%2C%22orig_item_id%22%3A%221005009331775121%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007792451411%7C_p_origin_prod%3A1005009331775121
DRV8825,5,pcs,45.88,4.95,https://www.aliexpress.com/item/1005006199405206.html?spm=a2g0o.productlist.main.1.2ac830b537vAT5&algo_pvid=251ba9a3-c089-40c5-95d6-3f10fed98294&pdp_ext_f=%7B%22order%22%3A%221189%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006199405206%7C_p_origin_prod%3A
irlz44n,10,pcs,9.87,1.07,https://www.aliexpress.com/item/32895956089.html?spm=a2g0o.productlist.main.3.585c7f81SrpjDa&algo_pvid=217b9e85-fb72-4510-a7c3-e3ecc2203bdb&pdp_ext_f=%7B%22order%22%3A%22330%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32895956089%7C_p_origin_prod%3A
1N5819,50,pcs,9.87,1.07,https://www.aliexpress.com/item/1005001552094086.html?algo_pvid=6702d0a0-3a5b-4a89-a69c-304c6e60e806&pdp_ext_f=%7B%22order%22%3A%223075%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001552094086%7C_p_origin_prod%3A
Screw terminal,10,pcs,83.08,9.04,https://www.aliexpress.com/item/1005001677869988.html?spm=a2g0o.productlist.main.4.22797cf5vgQYyY&aem_p4p_detail=20251212041208392676109231120000190813&algo_pvid=ef3df8c8-928a-4232-a6dc-efeceac0b4f4&pdp_ext_f=%7B%22order%22%3A%222679%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005001677869988%7C_p_origin_prod%3A&search_p4p_id=20251212041208392676109231120000190813_1
Pin headers 1×40 pin,10,pcs,14.56,1.58,https://www.aliexpress.com/item/32980998451.html?spm=a2g0o.productlist.main.4.6ff54f9dFpS61i&aem_p4p_detail=202512120412263191470227330580000181648&algo_pvid=725f76e7-70a3-44bd-9da3-b267a7eabeb5&pdp_ext_f=%7B%22order%22%3A%22149%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32980998451%7C_p_origin_prod%3A&search_p4p_id=202512120412263191470227330580000181648_1
PSU 24V 16A,1,pcs,373.8,40.4,https://www.aliexpress.com/item/1005003962776196.html?spm=a2g0o.productlist.main.1.14347ac40PBlA3&algo_pvid=1247abea-e56f-4125-8b5c-04adc4c23b2b&pdp_ext_f=%7B%22order%22%3A%2211%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003962776196%7C_p_origin_prod%3A
